movie_key,month_key,rating_count,avg_rating,tag_count
22,199603,1,4.0,0
48,199603,1,4.0,0
60,199603,1,4.0,0
150,199603,1,5.0,0
151,199603,1,4.0,0
161,199603,1,5.0,0
165,199603,1,4.0,0
168,199603,1,5.0,0
185,199603,1,5.0,0
186,199603,1,4.0,0
204,199603,1,4.0,0
207,199603,1,5.0,0
208,199603,1,3.0,0
225,199603,1,4.0,0
227,199603,1,3.0,0
236,199603,1,4.0,0
237,199603,1,4.0,0
252,199603,1,5.0,0
256,199603,1,4.0,0
261,199603,1,5.0,0
266,199603,1,4.0,0
276,199603,1,3.0,0
282,199603,1,4.0,0
292,199603,1,5.0,0
300,199603,1,4.0,0
315,199603,1,4.0,0
316,199603,1,3.0,0
317,199603,1,5.0,0
329,199603,1,3.0,0
339,199603,1,5.0,0
349,199603,1,3.0,0
380,199603,1,5.0,0
420,199603,1,2.0,0
432,199603,1,3.0,0
434,199603,1,4.0,0
468,199603,1,3.0,0
553,199603,1,3.0,0
588,199603,1,5.0,0
590,199603,1,5.0,0
592,199603,1,5.0,0
595,199603,1,5.0,0
1,199604,3,3.6667,0
2,199604,1,5.0,0
5,199604,1,4.0,0
6,199604,1,4.0,0
10,199604,1,4.0,0
11,199604,1,5.0,0
16,199604,1,4.0,0
17,199604,2,4.0,0
21,199604,1,4.0,0
22,199604,1,4.0,0
25,199604,1,5.0,0
32,199604,2,4.0,0
34,199604,1,4.0,0
36,199604,1,5.0,0
39,199604,1,1.0,0
47,199604,1,4.0,0
50,199604,2,4.0,0
52,199604,1,5.0,0
58,199604,1,4.0,0
62,199604,1,5.0,0
95,199604,1,3.0,0
104,199604,1,3.0,0
105,199604,1,4.0,0
110,199604,2,3.0,0
111,199604,1,5.0,0
141,199604,1,5.0,0
145,199604,1,4.0,0
150,199604,3,3.3333,0
151,199604,1,4.0,0
153,199604,2,3.0,0
158,199604,1,2.0,0
160,199604,2,1.5,0
161,199604,3,2.6667,0
163,199604,1,5.0,0
165,199604,1,5.0,0
168,199604,1,5.0,0
175,199604,1,5.0,0
193,199604,1,2.0,0
196,199604,1,2.0,0
204,199604,1,1.0,0
208,199604,1,1.0,0
215,199604,1,4.0,0
223,199604,1,5.0,0
224,199604,1,4.0,0
225,199604,1,5.0,0
227,199604,1,3.0,0
230,199604,1,4.0,0
231,199604,1,5.0,0
235,199604,1,5.0,0
236,199604,2,4.0,0
237,199604,1,1.0,0
246,199604,1,5.0,0
252,199604,1,5.0,0
253,199604,1,4.0,0
256,199604,1,4.0,0
261,199604,1,4.0,0
265,199604,1,5.0,0
266,199604,1,4.0,0
272,199604,1,5.0,0
276,199604,1,4.0,0
282,199604,2,3.5,0
