tmdb_id,tmdb_fetch_status,tmdb_title,tmdb_release_date,tmdb_original_language,tmdb_popularity,tmdb_budget,tmdb_revenue,tmdb_status,tmdb_vote_average,tmdb_vote_count,tmdb_primary_company,tmdb_primary_country
862,ok,Toy Story,1995-11-22,en,22.0209,30000000,401157969,Released,7.972,19785,Pixar,United States of America
8844,ok,Jumanji,1995-12-15,en,3.144,65000000,262821940,Released,7.244,11252,TriStar Pictures,United States of America
15602,ok,Grumpier Old Men,1995-12-22,en,2.4155,25000000,71518503,Released,6.481,426,Lancaster Gate,United States of America
11862,ok,Father of the Bride Part II,1995-12-08,en,3.2446,0,76594107,Released,6.28,802,Touchstone Pictures,United States of America
949,ok,Heat,1995-12-15,en,14.6911,60000000,187400000,Released,7.933,8279,Warner Bros. Pictures,United States of America
11860,ok,Sabrina,1995-12-15,en,4.0012,58000000,53672080,Released,6.218,685,Paramount Pictures,Germany
710,ok,GoldenEye,1995-11-16,en,8.471,60000000,352194034,Released,6.901,4304,EON Productions,United Kingdom
9087,ok,The American President,1995-11-17,en,2.8763,62000000,107879496,Released,6.535,779,Castle Rock Entertainment,United States of America
524,ok,Casino,1995-11-22,en,8.3283,50000000,116112375,Released,7.995,6497,Universal Pictures,France
4584,ok,Sense and Sensibility,1995-12-13,en,6.177,16000000,134582776,Released,7.42,1830,Columbia Pictures,United States of America
5,ok,Four Rooms,1995-12-09,en,3.8276,4000000,4257354,Released,5.898,2824,Miramax,United States of America
9273,ok,Ace Ventura: When Nature Calls,1995-11-10,en,8.2542,30000000,212385533,Released,6.329,4530,Morgan Creek Entertainment,United States of America
8012,ok,Get Shorty,1995-10-20,en,4.0493,30250000,115101622,Released,6.505,1205,Metro-Goldwyn-Mayer,United States of America
1710,ok,Copycat,1995-10-27,en,4.3867,20000000,32000000,Released,6.478,1253,Regency Enterprises,United States of America
12665,ok,Powder,1995-10-27,en,5.1028,9500000,30900000,Released,6.996,710,Hollywood Pictures,United States of America
451,ok,Leaving Las Vegas,1995-10-27,en,4.3981,3600000,49800000,Released,7.254,1637,Initial Productions,France
902,ok,The City of Lost Children,1995-05-17,fr,3.0414,18000000,1738611,Released,7.241,1208,Constellation,France
9909,ok,Dangerous Minds,1995-08-11,en,3.9614,23000000,179519401,Released,6.955,1258,Don Simpson/Jerry Bruckheimer Films,United States of America
63,ok,Twelve Monkeys,1995-12-29,en,8.202,29000000,168841459,Released,7.605,9070,Universal Pictures,United States of America
9598,ok,Babe,1995-07-18,en,6.7938,30000000,254100000,Released,6.266,3098,Universal Pictures,Australia
687,ok,Dead Man Walking,1995-12-29,en,3.9629,11000000,39363635,Released,7.329,1495,Havoc,United States of America
9603,ok,Clueless,1995-07-19,en,8.9077,12000000,56631572,Released,7.251,4777,Paramount Pictures,United States of America
9312,ok,Mortal Kombat,1995-08-18,en,9.1168,18000000,122195920,Released,5.877,2511,New Line Cinema,United States of America
577,ok,To Die For,1995-09-22,en,3.6925,20000000,21300000,Released,6.597,875,Columbia Pictures,United Kingdom
807,ok,Se7en,1995-09-22,en,22.1599,33000000,327311859,Released,8.38,22969,New Line Cinema,United States of America
10530,ok,Pocahontas,1995-06-16,en,6.4523,55000000,346079773,Released,6.9,6047,Walt Disney Feature Animation,United States of America
629,ok,The Usual Suspects,1995-07-19,en,14.6112,6000000,23300000,Released,8.17,11342,Bad Hat Harry Productions,United States of America
11448,ok,Mighty Aphrodite,1995-09-13,en,2.8685,15000000,26000000,Released,6.737,740,Miramax,United States of America
11010,ok,The Postman,1994-09-22,it,2.5103,3000000,33000000,Released,7.917,1213,Esterno Mediterraneo Film,Italy
11359,ok,The Indian in the Cupboard,1995-07-14,en,2.7157,45000000,35700000,Released,6.463,673,Paramount Pictures,United States of America
2054,ok,Mr. Holland's Opus,1995-12-29,en,2.7749,31000000,106300000,Released,6.975,452,Hollywood Pictures,United States of America
9536,ok,Bio-Dome,1996-01-12,en,2.2546,8500000,13400000,Released,4.555,400,Weasel Productions,United States of America
10634,ok,Friday,1995-04-26,en,6.4685,3500000,28215918,Released,7.136,1997,New Line Cinema,United States of America
755,ok,From Dusk Till Dawn,1996-01-19,en,8.0791,19000000,25800000,Released,7.041,6459,Los Hooligans Productions,United States of America
9208,ok,Broken Arrow,1996-02-09,en,5.3077,50000000,150300000,Released,6.064,1655,The Mark Gordon Company,United States of America
13685,ok,Bottle Rocket,1996-02-21,en,3.7193,7000000,1040879,Released,6.7,1184,Gracie Films,United States of America
9614,ok,Happy Gilmore,1996-02-16,en,7.9072,12000000,41422354,Released,6.676,3313,Universal Pictures,United States of America
688,ok,The Bridges of Madison County,1995-06-02,en,5.7757,24000000,182000000,Released,7.706,2360,Malpaso Productions,United States of America
